date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:22	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2005%20Apr%202025%2010:04:23%20GMT	https://thanosx.icu/apple/apple.php	/storage/emulated/0/Download/%d9%81%d8%b4%d8%ae%20%d8%b2%d8%a7%d9%86%d9%88%d8%ab/cooc/thanosx.icu/apple/apple.0.delayed	(from )
12:04:23	7098/7098	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Apr%202025%2010:04:24%20GMT	https://thanosx.icu/apple/Login.php	/storage/emulated/0/Download/%d9%81%d8%b4%d8%ae%20%d8%b2%d8%a7%d9%86%d9%88%d8%ab/cooc/thanosx.icu/apple/Login.html	(from )
12:04:24	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-66317f3f-5250a3e81c579b56;gz%22	https://thanosx.icu/robots.txt		(from )
12:04:26	83981/83981	---M-Z	200	added ('OK')	text/css	etag:%22619c057b-44be%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	/storage/emulated/0/Download/%d9%81%d8%b4%d8%ae%20%d8%b2%d8%a7%d9%86%d9%88%d8%ab/cooc/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	(from https://thanosx.icu/apple/Login.php)
12:04:26	29167/29167	---M--	200	added ('OK')	image/jpeg	etag:%2271ef-677c138c-eee9c41c83e2fd77;;;%22	https://thanosx.icu/apple/img/bak.jpg	/storage/emulated/0/Download/%d9%81%d8%b4%d8%ae%20%d8%b2%d8%a7%d9%86%d9%88%d8%ab/cooc/thanosx.icu/apple/img/bak.jpg	(from https://thanosx.icu/apple/Login.php)
12:04:27	61552/61552	---M--	200	added ('OK')	image/png	etag:%22f070-677c1ea9-27754b47aa8cdba8;;;%22	https://thanosx.icu/apple/img/logo.png	/storage/emulated/0/Download/%d9%81%d8%b4%d8%ae%20%d8%b2%d8%a7%d9%86%d9%88%d8%ab/cooc/thanosx.icu/apple/img/logo.png	(from https://thanosx.icu/apple/Login.php)
12:04:28	104/104	---M-Z	200	added ('OK')	application/json	date:Sat,%2005%20Apr%202025%2010:04:29%20GMT	https://thanosx.icu/apple/otp.php	/storage/emulated/0/Download/%d9%81%d8%b4%d8%ae%20%d8%b2%d8%a7%d9%86%d9%88%d8%ab/cooc/thanosx.icu/apple/otp.json	(from https://thanosx.icu/apple/Login.php)
12:04:29	6338/6338	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Apr%202025%2010:04:30%20GMT	https://thanosx.icu/apple/download/	/storage/emulated/0/Download/%d9%81%d8%b4%d8%ae%20%d8%b2%d8%a7%d9%86%d9%88%d8%ab/cooc/thanosx.icu/apple/download/index.html	(from https://thanosx.icu/apple/Login.php)
12:04:30	1354/1354	---M--	200	added ('OK')	image/webp	etag:%2254a-677e5011-de86fc743724470a;;;%22	https://thanosx.icu/apple/download/1xbet.webp	/storage/emulated/0/Download/%d9%81%d8%b4%d8%ae%20%d8%b2%d8%a7%d9%86%d9%88%d8%ab/cooc/thanosx.icu/apple/download/1xbet.webp	(from https://thanosx.icu/apple/download/)
12:04:31	13845/13845	---M--	200	added ('OK')	image/png	etag:%223615-677e5168-96a0f99b1d573107;;;%22	https://thanosx.icu/apple/download/8890972.png	/storage/emulated/0/Download/%d9%81%d8%b4%d8%ae%20%d8%b2%d8%a7%d9%86%d9%88%d8%ab/cooc/thanosx.icu/apple/download/8890972.png	(from https://thanosx.icu/apple/download/)
12:05:14	86183746/86183746	---M--	200	added ('OK')	application/vnd.android.package-archive	etag:%225230f42-677fe40c-da46bf9bb9986bf9;;;%22	https://thanosx.icu/apple/download/1xbet.apk	/storage/emulated/0/Download/%d9%81%d8%b4%d8%ae%20%d8%b2%d8%a7%d9%86%d9%88%d8%ab/cooc/thanosx.icu/apple/download/1xbet.apk	(from https://thanosx.icu/apple/download/)
